video_id,datetime,title
8TmV6KEYkK0,2023-06-05T17:09:11Z,"Bert Kreischer: Comedy, Drinking, Rogan, Segura, Churchill &amp; Kim Jong Un | Lex Fridman Podcast #382"
pdJQ8iVTwj8,2023-06-02T21:18:32Z,Chris Lattner: Future of Programming and AI | Lex Fridman Podcast #381
YDjOS0VHEr4,2023-05-28T15:46:03Z,Neil Gershenfeld: Self-Replicating Robots and the Future of Fabrication | Lex Fridman Podcast #380
iFXGpKf9VBU,2023-05-24T15:25:12Z,"Randall Kennedy: The N-Word - History of Race, Law, Politics, and Power | Lex Fridman Podcast #379"
IQnUa5Bq5x4,2023-05-18T21:16:26Z,"Anna Frebel: Origin and Evolution of the Universe, Galaxies, and Stars | Lex Fridman Podcast #378"
DgTjSrrf6GQ,2023-05-16T01:17:17Z,Harvey Silverglate: Freedom of Speech | Lex Fridman Podcast #377
PdE-waSx-d8,2023-05-09T17:10:30Z,"Stephen Wolfram: ChatGPT and the Nature of Truth, Reality &amp; Computation | Lex Fridman Podcast #376"
2i31fDkaK9A,2023-05-06T17:38:23Z,"David Pakman: Politics of Trump, Biden, Bernie, AOC, Socialism &amp; Wokeism | Lex Fridman Podcast #375"
cLVdsZ3I5os,2023-04-28T19:10:22Z,Robert Playter: Boston Dynamics CEO on Humanoid and Legged Robotics | Lex Fridman Podcast #374
wMavKrA-4do,2023-04-21T21:09:00Z,Manolis Kellis: Evolution of Human Civilization and Superintelligent AI | Lex Fridman Podcast #373
VcVfceTsD0A,2023-04-13T16:25:45Z,Max Tegmark: The Case for Halting AI Development | Lex Fridman Podcast #371
Osh0-J3T2nY,2023-04-10T15:04:34Z,"Edward Frenkel: Reality is a Paradox - Mathematics, Physics, Truth &amp; Love | Lex Fridman Podcast #370"
gPfriiHBBek,2023-04-04T18:49:11Z,"Paul Rosolie: Amazon Jungle, Uncontacted Tribes, Anacondas, and Ayahuasca | Lex Fridman Podcast #369"
AaTRHFaaPG8,2023-03-30T15:13:32Z,Eliezer Yudkowsky: Dangers of AI and the End of Human Civilization | Lex Fridman Podcast #368
L_Guz73e6fw,2023-03-25T18:03:21Z,"Sam Altman: OpenAI CEO on GPT-4, ChatGPT, and the Future of AI | Lex Fridman Podcast #367"
